City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,83,79,1.34,NZ,1699675237
1,hamilton,39.1834,-84.5333,8.38,58,0,0.89,US,1699675238
2,port-aux-francais,-49.35,70.2167,3.16,82,100,13.64,TF,1699675238
3,bethel,41.3712,-73.414,6.94,76,10,0.45,US,1699675239
4,isafjordur,66.0755,-23.124,1.88,67,78,2.24,IS,1699675240
5,tufanganj,26.3167,89.6667,24.57,56,0,2.43,IN,1699675241
6,huilong,31.8111,121.655,14.41,61,97,6.08,CN,1699675242
7,andkhoy,36.9529,65.1238,15.77,31,99,6.73,AF,1699675242
8,adamstown,-25.066,-130.1015,22.68,84,4,4.34,PN,1699675242
9,port mathurin,-19.6833,63.4167,25.05,78,11,4.61,MU,1699675242
10,pagar alam,-4.0167,103.2667,28.61,62,100,1.43,ID,1699675243
11,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,98,75,1.79,RU,1699675243
12,ribeira grande,38.5167,-28.7,19.59,87,1,10.27,PT,1699675243
13,thompson,55.7435,-97.8558,-0.91,86,100,5.66,CA,1699675243
14,chonchi,-42.6128,-73.8092,8.56,98,100,7.63,CL,1699675243
15,imbituba,-28.24,-48.6703,20.46,93,83,1.69,BR,1699675244
16,taoudenni,22.6783,-3.9836,22.26,19,0,4.18,ML,1699675244
17,bubaque,11.2833,-15.8333,28.36,62,100,4.35,GW,1699675244
18,margaret river,-33.95,115.0667,20.67,49,96,3.46,AU,1699675244
19,utrik,11.2278,169.8474,27.37,85,100,9.36,MH,1699675245
20,puerto ayora,-0.7393,-90.3518,24.19,90,12,4.02,EC,1699675245
21,punta arenas,-53.15,-70.9167,7.06,81,100,3.6,CL,1699675245
22,homer,59.6425,-151.5483,-1.79,91,96,2.6,US,1699675206
23,mananjary,-21.2167,48.3333,20.66,94,98,2.16,MG,1699675246
24,jamestown,42.097,-79.2353,7.06,81,100,2.06,US,1699675191
25,vatra dornei,47.35,25.3667,4.2,83,100,1.68,RO,1699675246
26,punta cana,18.5818,-68.4043,27.87,78,75,4.12,DO,1699675224
27,olonkinbyen,70.9221,-8.7187,1.24,85,100,3.47,SJ,1699675246
28,aasiaat,68.7098,-52.8699,-9.26,88,99,3.8,GL,1699675247
29,shenjiamen,29.9576,122.298,16.24,70,100,5.87,CN,1699675247
30,constantia,44.1833,28.65,13.38,84,98,5.57,RO,1699675247
31,uturoa,-16.7333,-151.4333,27.12,83,100,5.54,PF,1699675247
32,happy valley-goose bay,53.3168,-60.3315,-2.83,80,75,4.63,CA,1699675247
33,buala,-8.145,159.5921,27.41,82,100,0.69,SB,1699675248
34,taulaga,-11.0553,-171.0883,28.81,77,16,3.47,AS,1699675248
35,sur,22.5667,59.5289,27.34,62,13,5.07,OM,1699675248
36,grytviken,-54.2811,-36.5092,1.44,95,88,6.93,GS,1699675248
37,kassala,15.451,36.4,26.39,46,6,3.09,SD,1699675249
38,arraial do cabo,-22.9661,-42.0278,20.33,95,32,0.98,BR,1699675249
39,brisas de zicatela,15.8369,-97.0419,25.25,95,12,1.28,MX,1699675250
40,papatowai,-46.5619,169.4708,21.01,30,0,0.52,NZ,1699675251
